Reference,Value,Footprint,Manufacturer,MPN,LCSC,Quantity,Parameters,Catalog_URL
PD16,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
PD2,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
PD3,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
PD4,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
PD5,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
PD6,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
PD7,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
PD8,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
PD9,PD15-21B/TR8,PD:1206,Everlight,PD15-21B/TR8,C2921391,1,Silicon PIN photodiode; peak 940nm; 1206,https://www.lcsc.com/product-detail/C2921391.html
R1,2.67k,R:0402,Viking,ARG02FTC2671,C284464,1,RES 2.67kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C284464.html
R10,10k,R:0402,UNI-ROYAL,0402WGF1002TCE,C25744,1,RES 10kΩ ±1% 62.5mW 0402,https://www.lcsc.com/product-detail/C25744.html
